,Bios,Movies,TV,Religion,Music,Sports,Books,Politics,Cluster #
0,Travel junkie. Proud communicator. Freelance pop culture guru. Entrepreneur.,8.0,2.0,1.0,9.0,6.0,5.000000000000001,9.0,2.0
1,Total zombie geek. Unable to type with boxing gloves on. Freelance problem solver. General food specialist. Communicator.,9.0,6.0,8.0,8.0,1.0,9.0,6.0,7.0
2,Zombie fanatic. Typical coffeeaholic. Certified music ninja. Organizer. Avid alcohol expert.,3.0,0.0,5.000000000000001,2.0,6.999999999999999,0.0,8.0,10.0
3,Student. Beer advocate. Incurable food nerd. Zombie fan. Extreme tv practitioner. Lifelong creator.,1.0,4.0,4.0,2.0,5.000000000000001,5.000000000000001,4.0,0.0
4,Communicator. Award-winning internet specialist. Freelance entrepreneur. Reader. Bacon fanatic.,8.0,9.0,6.0,1.0,6.0,3.0,2.0,9.0
5,Passionate twitter nerd. Music ninja. Unapologetic internet guru. Hardcore zombie evangelist. Proud entrepreneur. Bacon specialist.,8.0,6.0,8.0,8.0,9.0,0.0,8.0,5.0
6,Avid troublemaker. General web fanatic. Freelance travel nerd. Lifelong social media geek. Certified beer specialist. Unable to type with boxing gloves on.,9.0,1.0,0.0,2.0,2.0,1.0,6.0,7.0
7,Lifelong explorer. Professional pop culture nerd. Troublemaker.,6.999999999999999,1.0,3.0,6.999999999999999,0.0,6.0,6.999999999999999,2.0
8,Pop culture nerd. Food scholar. Unapologetic beer enthusiast. Travel junkie. Social media fanatic.,6.0,6.999999999999999,3.0,6.0,5.000000000000001,6.999999999999999,4.0,2.0
9,Prone to fits of apathy. Coffee scholar. Extreme writer. Musicaholic. Alcohol expert. Total explorer.,4.0,8.0,8.0,3.0,6.999999999999999,2.0,2.0,3.0
10,Twitter specialist. Pop culture fan. Travel lover. Typical organizer. Professional writer. Amateur introvert.,6.0,6.999999999999999,3.0,9.0,5.000000000000001,9.0,6.999999999999999,2.0
11,Troublemaker. Devoted alcohol enthusiast. Typical twitter trailblazer. Web junkie. Writer. Coffee evangelist.,4.0,3.0,9.0,6.999999999999999,2.0,5.000000000000001,1.0,5.0
12,Music expert. General organizer. Infuriatingly humble pop culture maven.,6.0,6.999999999999999,2.0,1.0,4.0,4.0,4.0,2.0
13,Devoted communicator. Internet fanatic. Award-winning writer. Pop culture enthusiast.,8.0,6.0,2.0,2.0,1.0,3.0,4.0,9.0
14,Beer nerd. Award-winning coffee fanatic. Web lover. Subtly charming twitter fan. Lifelong music aficionado.,3.0,3.0,3.0,8.0,5.000000000000001,4.0,2.0,2.0
15,Travel junkie. Proud communicator. Freelance pop culture guru. Entrepreneur.,8.0,3.0,3.0,2.0,2.0,1.0,8.0,2.0
16,Total zombie geek. Unable to type with boxing gloves on. Freelance problem solver. General food specialist. Communicator.,1.0,3.0,8.0,5.000000000000001,2.0,0.0,8.0,7.0
17,Zombie fanatic. Typical coffeeaholic. Certified music ninja. Organizer. Avid alcohol expert.,2.0,3.0,5.000000000000001,9.0,4.0,3.0,1.0,10.0
18,Student. Beer advocate. Incurable food nerd. Zombie fan. Extreme tv practitioner. Lifelong creator.,1.0,0.0,1.0,1.0,8.0,5.000000000000001,3.0,0.0
19,Communicator. Award-winning internet specialist. Freelance entrepreneur. Reader. Bacon fanatic.,6.0,1.0,6.999999999999999,6.999999999999999,6.0,6.999999999999999,1.0,9.0
20,Passionate twitter nerd. Music ninja. Unapologetic internet guru. Hardcore zombie evangelist. Proud entrepreneur. Bacon specialist.,5.000000000000001,0.0,6.0,3.0,6.0,4.0,3.0,5.0
21,Avid troublemaker. General web fanatic. Freelance travel nerd. Lifelong social media geek. Certified beer specialist. Unable to type with boxing gloves on.,4.0,1.0,8.0,8.0,6.999999999999999,8.0,0.0,7.0
22,Lifelong explorer. Professional pop culture nerd. Troublemaker.,4.0,3.0,2.0,4.0,2.0,5.000000000000001,5.000000000000001,2.0
23,Pop culture nerd. Food scholar. Unapologetic beer enthusiast. Travel junkie. Social media fanatic.,6.999999999999999,0.0,3.0,4.0,8.0,6.0,6.999999999999999,2.0
24,Prone to fits of apathy. Coffee scholar. Extreme writer. Musicaholic. Alcohol expert. Total explorer.,2.0,3.0,2.0,6.999999999999999,9.0,8.0,6.0,3.0
25,Twitter specialist. Pop culture fan. Travel lover. Typical organizer. Professional writer. Amateur introvert.,5.000000000000001,1.0,8.0,5.000000000000001,8.0,6.999999999999999,1.0,2.0
26,Troublemaker. Devoted alcohol enthusiast. Typical twitter trailblazer. Web junkie. Writer. Coffee evangelist.,4.0,2.0,2.0,2.0,5.000000000000001,6.0,0.0,5.0
27,Music expert. General organizer. Infuriatingly humble pop culture maven.,8.0,5.000000000000001,4.0,2.0,3.0,4.0,5.000000000000001,2.0
28,Devoted communicator. Internet fanatic. Award-winning writer. Pop culture enthusiast.,9.0,9.0,5.000000000000001,4.0,9.0,8.0,1.0,9.0
29,Beer nerd. Award-winning coffee fanatic. Web lover. Subtly charming twitter fan. Lifelong music aficionado.,3.0,1.0,8.0,1.0,2.0,0.0,6.0,2.0
30,Travel junkie. Proud communicator. Freelance pop culture guru. Entrepreneur.,9.0,8.0,0.0,8.0,1.0,8.0,9.0,2.0
31,Total zombie geek. Unable to type with boxing gloves on. Freelance problem solver. General food specialist. Communicator.,3.0,6.0,0.0,6.999999999999999,6.0,8.0,9.0,7.0
32,Zombie fanatic. Typical coffeeaholic. Certified music ninja. Organizer. Avid alcohol expert.,0.0,2.0,3.0,9.0,3.0,3.0,0.0,10.0
33,Student. Beer advocate. Incurable food nerd. Zombie fan. Extreme tv practitioner. Lifelong creator.,5.000000000000001,6.999999999999999,6.999999999999999,1.0,8.0,6.0,4.0,0.0
34,Communicator. Award-winning internet specialist. Freelance entrepreneur. Reader. Bacon fanatic.,5.000000000000001,4.0,6.999999999999999,9.0,5.000000000000001,6.0,4.0,9.0
35,Passionate twitter nerd. Music ninja. Unapologetic internet guru. Hardcore zombie evangelist. Proud entrepreneur. Bacon specialist.,2.0,4.0,5.000000000000001,4.0,3.0,2.0,6.999999999999999,5.0
36,Avid troublemaker. General web fanatic. Freelance travel nerd. Lifelong social media geek. Certified beer specialist. Unable to type with boxing gloves on.,8.0,3.0,6.999999999999999,3.0,2.0,6.999999999999999,6.999999999999999,7.0
37,Lifelong explorer. Professional pop culture nerd. Troublemaker.,1.0,4.0,6.0,1.0,6.0,0.0,4.0,2.0
38,Pop culture nerd. Food scholar. Unapologetic beer enthusiast. Travel junkie. Social media fanatic.,9.0,5.000000000000001,6.999999999999999,2.0,2.0,6.999999999999999,4.0,2.0
39,Prone to fits of apathy. Coffee scholar. Extreme writer. Musicaholic. Alcohol expert. Total explorer.,5.000000000000001,3.0,2.0,5.000000000000001,5.000000000000001,6.0,2.0,3.0
40,Twitter specialist. Pop culture fan. Travel lover. Typical organizer. Professional writer. Amateur introvert.,3.0,3.0,2.0,3.0,3.0,8.0,9.0,2.0
41,Troublemaker. Devoted alcohol enthusiast. Typical twitter trailblazer. Web junkie. Writer. Coffee evangelist.,1.0,2.0,9.0,5.000000000000001,4.0,6.0,1.0,5.0
42,Music expert. General organizer. Infuriatingly humble pop culture maven.,5.000000000000001,0.0,0.0,2.0,5.000000000000001,6.999999999999999,0.0,2.0
43,Devoted communicator. Internet fanatic. Award-winning writer. Pop culture enthusiast.,0.0,5.000000000000001,6.0,1.0,3.0,2.0,6.0,9.0
44,Beer nerd. Award-winning coffee fanatic. Web lover. Subtly charming twitter fan. Lifelong music aficionado.,5.000000000000001,0.0,6.999999999999999,6.0,1.0,9.0,0.0,2.0
45,Travel junkie. Proud communicator. Freelance pop culture guru. Entrepreneur.,6.999999999999999,2.0,3.0,6.999999999999999,0.0,4.0,8.0,2.0
46,Total zombie geek. Unable to type with boxing gloves on. Freelance problem solver. General food specialist. Communicator.,4.0,3.0,0.0,6.0,8.0,2.0,3.0,7.0
47,Zombie fanatic. Typical coffeeaholic. Certified music ninja. Organizer. Avid alcohol expert.,5.000000000000001,3.0,3.0,6.999999999999999,4.0,5.000000000000001,6.999999999999999,10.0
48,Student. Beer advocate. Incurable food nerd. Zombie fan. Extreme tv practitioner. Lifelong creator.,0.0,1.0,9.0,3.0,6.0,3.0,3.0,0.0
49,Communicator. Award-winning internet specialist. Freelance entrepreneur. Reader. Bacon fanatic.,5.000000000000001,2.0,2.0,5.000000000000001,0.0,5.000000000000001,2.0,9.0
50,Passionate twitter nerd. Music ninja. Unapologetic internet guru. Hardcore zombie evangelist. Proud entrepreneur. Bacon specialist.,0.0,6.0,0.0,1.0,8.0,2.0,9.0,5.0
51,Avid troublemaker. General web fanatic. Freelance travel nerd. Lifelong social media geek. Certified beer specialist. Unable to type with boxing gloves on.,6.999999999999999,8.0,4.0,8.0,0.0,9.0,1.0,7.0
52,Lifelong explorer. Professional pop culture nerd. Troublemaker.,4.0,6.0,6.999999999999999,6.0,6.999999999999999,8.0,8.0,2.0
53,Pop culture nerd. Food scholar. Unapologetic beer enthusiast. Travel junkie. Social media fanatic.,3.0,9.0,0.0,6.0,1.0,8.0,0.0,2.0
54,Prone to fits of apathy. Coffee scholar. Extreme writer. Musicaholic. Alcohol expert. Total explorer.,4.0,9.0,6.999999999999999,4.0,2.0,6.0,8.0,3.0
55,Twitter specialist. Pop culture fan. Travel lover. Typical organizer. Professional writer. Amateur introvert.,3.0,0.0,0.0,0.0,1.0,6.999999999999999,8.0,2.0
56,Troublemaker. Devoted alcohol enthusiast. Typical twitter trailblazer. Web junkie. Writer. Coffee evangelist.,1.0,4.0,2.0,0.0,6.0,0.0,6.999999999999999,5.0
57,Music expert. General organizer. Infuriatingly humble pop culture maven.,8.0,3.0,4.0,6.999999999999999,9.0,4.0,0.0,2.0
58,Devoted communicator. Internet fanatic. Award-winning writer. Pop culture enthusiast.,1.0,5.000000000000001,4.0,4.0,4.0,6.0,0.0,9.0
59,Beer nerd. Award-winning coffee fanatic. Web lover. Subtly charming twitter fan. Lifelong music aficionado.,6.999999999999999,6.0,0.0,2.0,3.0,3.0,1.0,2.0
60,Travel junkie. Proud communicator. Freelance pop culture guru. Entrepreneur.,4.0,8.0,6.0,6.0,2.0,9.0,1.0,2.0
