,Bios,Movies,TV,Religion,Music,Sports,Books,Politics
0,Travel junkie. Proud communicator. Freelance pop culture guru. Entrepreneur.,8,2,1,9,6,5,9
1,Total zombie geek. Unable to type with boxing gloves on. Freelance problem solver. General food specialist. Communicator.,9,6,8,8,1,9,6
2,Zombie fanatic. Typical coffeeaholic. Certified music ninja. Organizer. Avid alcohol expert.,3,0,5,2,7,0,8
3,Student. Beer advocate. Incurable food nerd. Zombie fan. Extreme tv practitioner. Lifelong creator.,1,4,4,2,5,5,4
4,Communicator. Award-winning internet specialist. Freelance entrepreneur. Reader. Bacon fanatic.,8,9,6,1,6,3,2
5,Passionate twitter nerd. Music ninja. Unapologetic internet guru. Hardcore zombie evangelist. Proud entrepreneur. Bacon specialist.,8,6,8,8,9,0,8
6,Avid troublemaker. General web fanatic. Freelance travel nerd. Lifelong social media geek. Certified beer specialist. Unable to type with boxing gloves on.,9,1,0,2,2,1,6
7,Lifelong explorer. Professional pop culture nerd. Troublemaker.,7,1,3,7,0,6,7
8,Pop culture nerd. Food scholar. Unapologetic beer enthusiast. Travel junkie. Social media fanatic.,6,7,3,6,5,7,4
9,Prone to fits of apathy. Coffee scholar. Extreme writer. Musicaholic. Alcohol expert. Total explorer.,4,8,8,3,7,2,2
10,Twitter specialist. Pop culture fan. Travel lover. Typical organizer. Professional writer. Amateur introvert.,6,7,3,9,5,9,7
11,Troublemaker. Devoted alcohol enthusiast. Typical twitter trailblazer. Web junkie. Writer. Coffee evangelist.,4,3,9,7,2,5,1
12,Music expert. General organizer. Infuriatingly humble pop culture maven.,6,7,2,1,4,4,4
13,Devoted communicator. Internet fanatic. Award-winning writer. Pop culture enthusiast.,8,6,2,2,1,3,4
14,Beer nerd. Award-winning coffee fanatic. Web lover. Subtly charming twitter fan. Lifelong music aficionado.,3,3,3,8,5,4,2
15,Travel junkie. Proud communicator. Freelance pop culture guru. Entrepreneur.,8,3,3,2,2,1,8
16,Total zombie geek. Unable to type with boxing gloves on. Freelance problem solver. General food specialist. Communicator.,1,3,8,5,2,0,8
17,Zombie fanatic. Typical coffeeaholic. Certified music ninja. Organizer. Avid alcohol expert.,2,3,5,9,4,3,1
18,Student. Beer advocate. Incurable food nerd. Zombie fan. Extreme tv practitioner. Lifelong creator.,1,0,1,1,8,5,3
19,Communicator. Award-winning internet specialist. Freelance entrepreneur. Reader. Bacon fanatic.,6,1,7,7,6,7,1
20,Passionate twitter nerd. Music ninja. Unapologetic internet guru. Hardcore zombie evangelist. Proud entrepreneur. Bacon specialist.,5,0,6,3,6,4,3
21,Avid troublemaker. General web fanatic. Freelance travel nerd. Lifelong social media geek. Certified beer specialist. Unable to type with boxing gloves on.,4,1,8,8,7,8,0
22,Lifelong explorer. Professional pop culture nerd. Troublemaker.,4,3,2,4,2,5,5
23,Pop culture nerd. Food scholar. Unapologetic beer enthusiast. Travel junkie. Social media fanatic.,7,0,3,4,8,6,7
24,Prone to fits of apathy. Coffee scholar. Extreme writer. Musicaholic. Alcohol expert. Total explorer.,2,3,2,7,9,8,6
25,Twitter specialist. Pop culture fan. Travel lover. Typical organizer. Professional writer. Amateur introvert.,5,1,8,5,8,7,1
26,Troublemaker. Devoted alcohol enthusiast. Typical twitter trailblazer. Web junkie. Writer. Coffee evangelist.,4,2,2,2,5,6,0
27,Music expert. General organizer. Infuriatingly humble pop culture maven.,8,5,4,2,3,4,5
28,Devoted communicator. Internet fanatic. Award-winning writer. Pop culture enthusiast.,9,9,5,4,9,8,1
29,Beer nerd. Award-winning coffee fanatic. Web lover. Subtly charming twitter fan. Lifelong music aficionado.,3,1,8,1,2,0,6
30,Travel junkie. Proud communicator. Freelance pop culture guru. Entrepreneur.,9,8,0,8,1,8,9
31,Total zombie geek. Unable to type with boxing gloves on. Freelance problem solver. General food specialist. Communicator.,3,6,0,7,6,8,9
32,Zombie fanatic. Typical coffeeaholic. Certified music ninja. Organizer. Avid alcohol expert.,0,2,3,9,3,3,0
33,Student. Beer advocate. Incurable food nerd. Zombie fan. Extreme tv practitioner. Lifelong creator.,5,7,7,1,8,6,4
34,Communicator. Award-winning internet specialist. Freelance entrepreneur. Reader. Bacon fanatic.,5,4,7,9,5,6,4
35,Passionate twitter nerd. Music ninja. Unapologetic internet guru. Hardcore zombie evangelist. Proud entrepreneur. Bacon specialist.,2,4,5,4,3,2,7
36,Avid troublemaker. General web fanatic. Freelance travel nerd. Lifelong social media geek. Certified beer specialist. Unable to type with boxing gloves on.,8,3,7,3,2,7,7
37,Lifelong explorer. Professional pop culture nerd. Troublemaker.,1,4,6,1,6,0,4
38,Pop culture nerd. Food scholar. Unapologetic beer enthusiast. Travel junkie. Social media fanatic.,9,5,7,2,2,7,4
39,Prone to fits of apathy. Coffee scholar. Extreme writer. Musicaholic. Alcohol expert. Total explorer.,5,3,2,5,5,6,2
40,Twitter specialist. Pop culture fan. Travel lover. Typical organizer. Professional writer. Amateur introvert.,3,3,2,3,3,8,9
41,Troublemaker. Devoted alcohol enthusiast. Typical twitter trailblazer. Web junkie. Writer. Coffee evangelist.,1,2,9,5,4,6,1
42,Music expert. General organizer. Infuriatingly humble pop culture maven.,5,0,0,2,5,7,0
43,Devoted communicator. Internet fanatic. Award-winning writer. Pop culture enthusiast.,0,5,6,1,3,2,6
44,Beer nerd. Award-winning coffee fanatic. Web lover. Subtly charming twitter fan. Lifelong music aficionado.,5,0,7,6,1,9,0
45,Travel junkie. Proud communicator. Freelance pop culture guru. Entrepreneur.,7,2,3,7,0,4,8
